week_date,current_projects,current_projects_target,current_projects_diversity,starting_projects,starting_projects_target,starting_projects_diversity,ending_projects,ending_projects_target,ending_projects_diversity,success_rate,winter,automn,spring,summer,start_month,end_month,back_to_school,toussaint,noel,winter_hol,spring_hol,start_year,end_year
2009-12-13 00:00:00+00:00,2,13750.0,-0.0,1,22500.0,-0.0,0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1
2010-01-10 00:00:00+00:00,3,11166.666666666666,-0.0,1,6000.0,-0.0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0
2010-01-24 00:00:00+00:00,4,12125.0,-0.0,1,15000.0,-0.0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0
2010-02-28 00:00:00+00:00,5,13700.0,-0.0,1,20000.0,-0.0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0
2010-04-18 00:00:00+00:00,4,12000.0,0.5623351446188083,1,7000.0,-0.0,0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010-05-02 00:00:00+00:00,5,10800.0,0.5004024235381879,1,6000.0,-0.0,0,0.0,0.0,1.0,0,0,1,0,1,0,0,0,0,0,1,0,0
2010-05-16 00:00:00+00:00,7,12642.857142857143,1.277034259466139,3,13500.0,0.6365141682948128,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010-05-23 00:00:00+00:00,8,11812.5,1.2130075659799042,1,6000.0,-0.0,0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010-05-30 00:00:00+00:00,15,10466.666666666666,1.3792922544726758,7,8928.57142857143,1.1537419427010902,1,15000.0,-0.0,0.14285714285714285,0,0,1,0,0,1,0,0,0,0,0,0,0
2010-06-27 00:00:00+00:00,15,9866.666666666666,1.4878167164014493,2,6500.0,-0.0,1,20000.0,-0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0
2010-07-04 00:00:00+00:00,16,8300.0,1.6886993130287196,2,2400.0,0.6931471805599453,0,0.0,0.0,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0
2010-07-18 00:00:00+00:00,18,7711.111111111111,1.84989815186856,2,3000.0,0.6931471805599453,1,2500.0,-0.0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0
2010-08-01 00:00:00+00:00,19,8278.947368421053,1.7346687950803545,2,10500.0,0.6931471805599453,0,0.0,0.0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0
2010-08-08 00:00:00+00:00,20,8865.0,1.7339835697484476,1,20000.0,-0.0,1,800.0,-0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
2010-08-22 00:00:00+00:00,22,8704.545454545454,1.7672569735891481,3,5000.0,1.0986122886681096,0,0.0,0.0,0.3333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0
2010-08-29 00:00:00+00:00,26,9903.846153846154,1.672283934380221,4,16500.0,0.5623351446188083,4,7375.0,1.3862943611198906,0.25,0,0,0,1,0,1,0,0,0,0,0,0,0
2010-09-05 00:00:00+00:00,23,10182.608695652174,1.684738207117148,1,6200.0,-0.0,0,0.0,0.0,0.0,0,0,0,1,1,0,1,0,0,0,0,0,0
2010-09-19 00:00:00+00:00,23,9356.521739130434,1.684738207117148,1,1000.0,-0.0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
2010-09-26 00:00:00+00:00,24,9112.5,1.6522947496566738,1,3500.0,-0.0,9,8111.111111111111,1.1490596969706202,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0
2010-10-03 00:00:00+00:00,16,9231.25,1.7710163687835907,1,2000.0,-0.0,1,4000.0,-0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0
2010-10-10 00:00:00+00:00,17,8617.64705882353,1.8905570113915662,2,1400.0,0.6931471805599453,0,0.0,0.0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0
2010-10-17 00:00:00+00:00,18,8305.555555555555,1.8751218560198155,1,3000.0,-0.0,0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
2010-10-24 00:00:00+00:00,19,8394.736842105263,1.8403407956415925,1,10000.0,-0.0,2,14000.0,0.6931471805599453,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0
2010-10-31 00:00:00+00:00,19,7894.736842105263,1.7361953233296774,2,9250.0,0.6931471805599453,1,3000.0,-0.0,0.5,0,1,0,0,0,1,0,1,0,0,0,0,0
2010-11-07 00:00:00+00:00,20,7525.0,1.8444397270569681,2,1750.0,0.6931471805599453,2,13000.0,0.6931471805599453,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0
2010-11-14 00:00:00+00:00,22,6068.181818181818,1.9484629728886893,4,2250.0,1.3862943611198906,1,3000.0,-0.0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0
2010-11-21 00:00:00+00:00,24,5662.5,1.910914271587008,3,1800.0,1.0986122886681096,0,0.0,0.0,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,0
